drillId,name,difficulty,category,duration,url,isHidden,source,skillSet,goal,description,equipment,videoCount
1-2-3-drill,1-2-3 Drill,Easy,Hitting,10m,https://usabdevelops.com/page/1363/drills/3310/1-2-3-drill,,static,Hitting,Train a proper load → stride → swing sequence with deliberate timing so every phase fires in the correct order.,"Start with the bat on your shoulder and focus on a rhythmic three-step load process. On ""one,"" shift your weight slightly back; on ""two,"" lift your lead leg into a stride; and on ""three,"" plant and swing smoothly. This drill is designed to help hitters find a repeatable tempo and avoid a static or rushed approach at the plate.","Tee, baseballs, bats",1
1-2-3-rhythm-tee,1-2-3 Rhythm Tee,Medium,Hitting,5m,https://usabdevelops.com/page/1363/drills?q=1-2-3-rhythm-tee,,static,Hitting,Develop rhythm and timing in the swing with cleaner sequencing from load through launch.,"Set up a ball on the tee and use a rhythmic ""rock back, rock forward, and swing"" motion to create momentum. The goal is to synchronize the hand load with the stride to ensure the body is moving in unison before making contact. It emphasizes fluid movement over a rigid, mechanical swing.",T. Baseball's net or screen to hit into. ,1
1st-base-flip-to-pitcher,1st Base Flip To Pitcher,Medium,Infield,,,,orphan,Infield,"To ensure the first baseman and pitcher execute smooth, accurate transfers for outs at first base","The first baseman fields a ground ball moving away from the base as the pitcher sprints over to cover. In one fluid motion, the first baseman underhands the ball softly to the pitcher's chest, leading them to the bag. This drill focuses on the timing, accuracy, and communication required to execute this common defensive play efficiently.","Gloves, bucket of baseballs, base, fungo bat",1
1st-base-inside-receiving,1st Base Inside Receiving,Medium,Infield,,,,orphan,Infield,"To train the first baseman to consistently handle inside throws by using proper footwork around the bag, maintaining contact with the base, and securing the catch without obstructing the advancing run","The first baseman sets up on the inside of first base, creating a direct throwing lane for the infielder. As the throw approaches, the player should step towards the ball with their glove-side foot, keeping their body open to the field while keeping their other foot on the bag. The main focus is on cleanly receiving the ball on the inside part of the base to secure the out while successfully avoiding the runner.","Gloves, bucket of baseballs, base, fungo bat",1
1st-base-off-bag,1st Base Off Bag,Medium,Infield,,,,orphan,Custom,To improve a first baseman's range in fielding ground balls and to develop the footwork required to transition from a fielding position back to covering the bag.,"The first baseman begins in a ready stance, positioned several steps off the bag toward second base. On a ground ball hit by a coach, the player works on fielding the ball cleanly with proper technique, focusing on footwork and glove work. After securing the ball, the player simulates a throw to another base or returns to first base, reinforcing the transition from fielder to covering the bag.",Varies,1
1st-base-receiving,1st Base Receiving,Medium,Infield,,,,orphan,Custom,"To develop proper footwork, glove presentation, and receiving technique for first basemen to secure outs on throws from the infield.","Set up with your heels on the front of the bag, providing a large, clear target for the infielder. As the throw comes, step towards the ball with your glove-side foot, aiming to catch it out in front of your body. Emphasize quick, efficient footwork to adjust to off-target throws and secure the catch while maintaining contact with the base.",Varies,1
1st-base-receiving-short-hops,1st Base Receiving Short Hops,Medium,Infield,,,,orphan,Infield,To develop a first baseman's skill and confidence in cleanly fielding short hops and handling difficult throws.,"A coach or partner throws one-hop throws to the first baseman, who is positioned at the bag. The player should focus on getting their body in front of the ball and keeping their glove low to the ground. Emphasis is placed on reading the hop, using a soft glove to absorb the ball, and keeping the ball in front of them to make the out.","Gloves, bucket of baseballs, base",1
2nd-baseman-backhand-flip,2nd Baseman Backhand Flip,Medium,Infield,,,,orphan,Infield,To improve a second baseman's body control and soft hands when fielding a backhand ground ball and making a quick flip to start a double play.,"From the ready position, the second baseman moves to their glove side to field a ground ball on their backhand. Without taking the ball out of the glove, the player uses momentum and a soft wrist action to execute a gentle underhand flip to the player covering second base. The focus is on maintaining body control and delivering an accurate, easy-to-handle toss while moving towards the target.",Varies,1
2nd-baseman-drop-step-throw,2nd Baseman Drop Step Throw,Medium,Uncategorized,,,YES,orphan,Custom,To train the second baseman to create space and proper throwing mechanics on balls hit to their glove-side.,"From the second base position, the player fields a ground ball to their glove side, away from the bag. The player will then execute a drop step with their throwing-side foot, opening their hips to create alignment and momentum toward the target. After the transfer, the player makes a strong, accurate throw, focusing on a quick release and proper follow-through.",Varies,1
2nd-baseman-forehand-spin,2nd Baseman Forehand Spin,Medium,Infield,,,,orphan,Custom,"To develop advanced body control and footwork, enabling the infielder to make a difficult play and throw accurately after a full rotation.","The drill begins with a coach rolling a ground ball to the 2nd baseman's forehand side, forcing them to move away from the base. Upon fielding the ball, the player executes a reverse spin, turning their body completely around while securing the grip. This movement allows them to quickly realign their shoulders and feet to make a strong and accurate throw to the target base.",Varies,1
